#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        2.34000        19.51325        19.55273        19.32836        19.15785        19.53952        18.04354       -24.91566       -26.03955
        2.35000        19.52166        19.55977        19.33440        19.16435        19.54698        18.04933       -24.91797       -26.04186
        2.36000        19.53011        19.56688        19.34049        19.17088        19.55450        18.05517       -24.92019       -26.04407
        2.37000        19.53862        19.57405        19.34662        19.17742        19.56207        18.06108       -24.92232       -26.04620
        2.38000        19.54716        19.58128        19.35281        19.18398        19.56970        18.06704       -24.92436       -26.04825
        2.39000        19.55575        19.58857        19.35905        19.19056        19.57738        18.07307       -24.92632       -26.05021
        2.40000        19.56439        19.59592        19.36534        19.19716        19.58510        18.07916       -24.92820       -26.05209
        2.41000        19.57306        19.60333        19.37168        19.20378        19.59286        18.08530       -24.93000       -26.05388
        2.42000        19.58177        19.61079        19.37808        19.21042        19.60065        18.09151       -24.93171       -26.05559
        2.43000        19.59052        19.61832        19.38453        19.21708        19.60848        18.09778       -24.93334       -26.05722
        2.44000        19.59931        19.62590        19.39103        19.22377        19.61633        18.10410       -24.93489       -26.05877
        2.45000        19.60814        19.63354        19.39758        19.23048        19.62421        18.11049       -24.93635       -26.06024
        2.46000        19.61700        19.64123        19.40418        19.23722        19.63211        18.11693       -24.93774       -26.06163
        2.47000        19.62589        19.64898        19.41082        19.24398        19.64003        18.12342       -24.93905       -26.06294
        2.48000        19.63482        19.65679        19.41752        19.25078        19.64797        18.12997       -24.94028       -26.06417
        2.49000        19.64378        19.66465        19.42426        19.25762        19.65592        18.13658       -24.94143       -26.06532
        2.50000        19.65277        19.67257        19.43104        19.26448        19.66389        18.14324       -24.94251       -26.06640
        2.51000        19.66180        19.68055        19.43786        19.27138        19.67188        18.14996       -24.94351       -26.06740
        2.52000        19.67085        19.68858        19.44473        19.27832        19.67989        18.15672       -24.94443       -26.06832
        2.53000        19.67994        19.69667        19.45164        19.28529        19.68792        18.16353       -24.94528       -26.06917
        2.54000        19.68905        19.70481        19.45859        19.29230        19.69597        18.17039       -24.94606       -26.06994
        2.55000        19.69819        19.71301        19.46558        19.29935        19.70404        18.17729       -24.94676       -26.07064
        2.56000        19.70735        19.72126        19.47261        19.30644        19.71215        18.18423       -24.94738       -26.07127
        2.57000        19.71655        19.72956        19.47967        19.31356        19.72028        18.19122       -24.94794       -26.07183
        2.58000        19.72577        19.73792        19.48677        19.32072        19.72844        18.19825       -24.94842       -26.07231
        2.59000        19.73501        19.74634        19.49391        19.32791        19.73664        18.20532       -24.94883       -26.07272
        2.60000        19.74428        19.75480        19.50108        19.33514        19.74487        18.21243       -24.94917       -26.07306
        2.61000        19.75357        19.76333        19.50829        19.34241        19.75313        18.21958       -24.94944       -26.07333
        2.62000        19.76289        19.77190        19.51554        19.34971        19.76142        18.22676       -24.94964       -26.07353
        2.63000        19.77223        19.78053        19.52282        19.35704        19.76975        18.23398       -24.94978       -26.07366
        2.64000        19.78159        19.78921        19.53015        19.36441        19.77810        18.24124       -24.94984       -26.07373
        2.65000        19.79098        19.79794        19.53751        19.37180        19.78648        18.24854       -24.94984       -26.07372
        2.66000        19.80039        19.80672        19.54491        19.37922        19.79488        18.25587       -24.94977       -26.07365
        2.67000        19.80982        19.81556        19.55236        19.38668        19.80332        18.26323       -24.94963       -26.07352
        2.68000        19.81928        19.82444        19.55984        19.39417        19.81177        18.27063       -24.94942       -26.07331
        2.69000        19.82875        19.83338        19.56736        19.40168        19.82025        18.27806       -24.94915       -26.07304
        2.70000        19.83825        19.84237        19.57493        19.40923        19.82875        18.28553       -24.94882       -26.07271
        2.71000        19.84777        19.85140        19.58253        19.41680        19.83727        18.29304       -24.94842       -26.07231
        2.72000        19.85731        19.86049        19.59018        19.42439        19.84580        18.30058       -24.94796       -26.07185
        2.73000        19.86688        19.86963        19.59786        19.43201        19.85434        18.30816       -24.94743       -26.07132
        2.74000        19.87646        19.87881        19.60559        19.43965        19.86290        18.31577       -24.94684       -26.07073
