#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450
        2.34000        20.77345        20.02694        19.94521        19.87636        19.71788        19.52060       -24.91566
        2.35000        20.79894        20.03154        19.95147        19.88532        19.72851        19.52283       -24.91797
        2.36000        20.82170        20.03657        19.95769        19.89437        19.73828        19.52606       -24.92019
        2.37000        20.84144        20.04204        19.96388        19.90343        19.74741        19.53111       -24.92232
        2.38000        20.85880        20.04798        19.97006        19.91253        19.75613        19.53695       -24.92436
        2.39000        20.87446        20.05444        19.97622        19.92167        19.76462        19.54302       -24.92632
        2.40000        20.88889        20.06151        19.98236        19.93090        19.77295        19.54946       -24.92820
        2.41000        20.90244        20.06916        19.98849        19.94024        19.78111        19.55624       -24.93000
        2.42000        20.91541        20.07737        19.99461        19.94967        19.78917        19.56333       -24.93171
        2.43000        20.92791        20.08616        20.00070        19.95899        19.79712        19.57073       -24.93334
        2.44000        20.94002        20.09545        20.00676        19.96824        19.80500        19.57832       -24.93489
        2.45000        20.95183        20.10517        20.01275        19.97736        19.81287        19.58621       -24.93635
        2.46000        20.96339        20.11531        20.01863        19.98650        19.82074        19.59465       -24.93774
        2.47000        20.97488        20.12592        20.02433        19.99576        19.82866        19.60398       -24.93905
        2.48000        20.98622        20.13704        20.02979        20.00507        19.83665        19.61390       -24.94028
        2.49000        20.99738        20.14871        20.03502        20.01436        19.84472        19.62385       -24.94143
        2.50000        21.00852        20.16092        20.04001        20.02355        19.85292        19.63361       -24.94251
        2.51000        21.01973        20.17365        20.04478        20.03252        19.86125        19.64336       -24.94351
        2.52000        21.03106        20.18683        20.04940        20.04116        19.86977        19.65345       -24.94443
        2.53000        21.04260        20.20038        20.05400        20.04955        19.87851        19.66405       -24.94528
        2.54000        21.05439        20.21423        20.05873        20.05759        19.88747        19.67502       -24.94606
        2.55000        21.06647        20.22832        20.06377        20.06514        19.89666        19.68613       -24.94676
        2.56000        21.07886        20.24260        20.06925        20.07210        19.90609        19.69729       -24.94738
        2.57000        21.09160        20.25703        20.07521        20.07838        19.91580        19.70848       -24.94794
        2.58000        21.10472        20.27157        20.08169        20.08405        19.92580        19.71967       -24.94842
