#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_B	M_i
        1.69000        18.54012        18.66283        18.45662        18.25838        18.66083        17.22527       -25.36829       -26.23964
        1.70000        18.54668        18.66838        18.46272        18.26417        18.66532        17.22982       -25.37509       -26.24644
        1.71000        18.55334        18.67401        18.46887        18.27005        18.66994        17.23444       -25.38173       -26.25308
        1.72000        18.56009        18.67974        18.47508        18.27602        18.67468        17.23913       -25.38821       -26.25956
        1.73000        18.56694        18.68554        18.48135        18.28209        18.67955        17.24389       -25.39454       -26.26589
        1.74000        18.57389        18.69144        18.48767        18.28826        18.68453        17.24873       -25.40072       -26.27207
        1.75000        18.58093        18.69742        18.49405        18.29452        18.68962        17.25364       -25.40674       -26.27809
        1.76000        18.58806        18.70349        18.50049        18.30089        18.69484        17.25863       -25.41261       -26.28396
        1.77000        18.59529        18.70964        18.50698        18.30736        18.70016        17.26370       -25.41833       -26.28968
        1.78000        18.60261        18.71588        18.51352        18.31393        18.70560        17.26884       -25.42390       -26.29525
        1.79000        18.61002        18.72221        18.52012        18.32060        18.71114        17.27406       -25.42932       -26.30067
        1.80000        18.61753        18.72861        18.52677        18.32737        18.71679        17.27937       -25.43459       -26.30594
        1.81000        18.62512        18.73511        18.53348        18.33425        18.72254        17.28476       -25.43971       -26.31106
        1.82000        18.63281        18.74168        18.54024        18.34124        18.72838        17.29024       -25.44468       -26.31603
        1.83000        18.64058        18.74834        18.54706        18.34833        18.73431        17.29580       -25.44950       -26.32085
        1.84000        18.64845        18.75508        18.55393        18.35553        18.74034        17.30146       -25.45418       -26.32553
        1.85000        18.65641        18.76190        18.56085        18.36284        18.74647        17.30721       -25.45871       -26.33006
        1.86000        18.66446        18.76881        18.56783        18.37025        18.75269        17.31304       -25.46310       -26.33445
        1.87000        18.67259        18.77580        18.57487        18.37775        18.75901        17.31897       -25.46734       -26.33869
        1.88000        18.68083        18.78287        18.58198        18.38535        18.76544        17.32499       -25.47144       -26.34279
        1.89000        18.68915        18.79003        18.58914        18.39304        18.77197        17.33110       -25.47540       -26.34675
        1.90000        18.69757        18.79728        18.59636        18.40081        18.77862        17.33730       -25.47921       -26.35056
        1.91000        18.70609        18.80461        18.60365        18.40867        18.78538        17.34359       -25.48288       -26.35423
        1.92000        18.71470        18.81204        18.61100        18.41662        18.79225        17.34997       -25.48641       -26.35776
        1.93000        18.72341        18.81955        18.61841        18.42465        18.79924        17.35645       -25.48980       -26.36115
        1.94000        18.73221        18.82716        18.62589        18.43276        18.80634        17.36301       -25.49305       -26.36440
        1.95000        18.74112        18.83486        18.63343        18.44094        18.81357        17.36967       -25.49616       -26.36751
        1.96000        18.75013        18.84265        18.64104        18.44920        18.82091        17.37641       -25.49914       -26.37048
        1.97000        18.75923        18.85053        18.64871        18.45753        18.82837        17.38325       -25.50197       -26.37332
        1.98000        18.76844        18.85851        18.65644        18.46593        18.83596        17.39017       -25.50467       -26.37602
        1.99000        18.77775        18.86658        18.66424        18.47440        18.84367        17.39719       -25.50723       -26.37858
        2.00000        18.78716        18.87475        18.67211        18.48292        18.85152        17.40429       -25.50966       -26.38101
        2.01000        18.79667        18.88301        18.68003        18.49151        18.85950        17.41148       -25.51195       -26.38330
        2.02000        18.80629        18.89137        18.68802        18.50016        18.86762        17.41876       -25.51411       -26.38545
        2.03000        18.81601        18.89981        18.69608        18.50887        18.87587        17.42613       -25.51613       -26.38748
        2.04000        18.82583        18.90835        18.70421        18.51764        18.88427        17.43358       -25.51802       -26.38937
        2.05000        18.83576        18.91697        18.71240        18.52647        18.89282        17.44112       -25.51978       -26.39113
        2.06000        18.84579        18.92569        18.72066        18.53534        18.90150        17.44875       -25.52140       -26.39275
        2.07000        18.85592        18.93449        18.72899        18.54427        18.91033        17.45646       -25.52290       -26.39425
        2.08000        18.86616        18.94338        18.73739        18.55325        18.91931        17.46425       -25.52427       -26.39561
        2.09000        18.87650        18.95236        18.74587        18.56229        18.92842        17.47213       -25.52550       -26.39685
        2.10000        18.88694        18.96142        18.75441        18.57138        18.93768        17.48010       -25.52661       -26.39795
        2.11000        18.89748        18.97056        18.76303        18.58053        18.94707        17.48814       -25.52758       -26.39893
        2.12000        18.90812        18.97979        18.77171        18.58975        18.95659        17.49626       -25.52843       -26.39978
        2.13000        18.91886        18.98910        18.78048        18.59903        18.96624        17.50447       -25.52916       -26.40050
        2.14000        18.92970        18.99849        18.78931        18.60837        18.97601        17.51276       -25.52975       -26.40110
        2.15000        18.94064        19.00797        18.79822        18.61778        18.98590        17.52113       -25.53022       -26.40157
        2.16000        18.95167        19.01753        18.80721        18.62726        18.99591        17.52958       -25.53056       -26.40191
        2.17000        18.96280        19.02717        18.81626        18.63681        19.00602        17.53811       -25.53078       -26.40213
        2.18000        18.97402        19.03690        18.82538        18.64643        19.01623        17.54671       -25.53088       -26.40223
        2.19000        18.98534        19.04672        18.83458        18.65612        19.02655        17.55540       -25.53085       -26.40220
        2.20000        18.99675        19.05663        18.84384        18.66589        19.03696        17.56417       -25.53070       -26.40205
        2.21000        19.00824        19.06662        18.85317        18.67574        19.04746        17.57301       -25.53042       -26.40177
        2.22000        19.01983        19.07670        18.86257        18.68566        19.05805        17.58194       -25.53003       -26.40138
        2.23000        19.03151        19.08687        18.87203        18.69566        19.06873        17.59096       -25.52951       -26.40086
        2.24000        19.04327        19.09714        18.88156        18.70573        19.07949        17.60006       -25.52887       -26.40022
        2.25000        19.05512        19.10749        18.89116        18.71587        19.09034        17.60924       -25.52812       -26.39947
        2.26000        19.06705        19.11794        18.90082        18.72608        19.10126        17.61850       -25.52724       -26.39859
        2.27000        19.07906        19.12847        18.91055        18.73636        19.11227        17.62785       -25.52624       -26.39759
        2.28000        19.09115        19.13911        18.92033        18.74670        19.12335        17.63729       -25.52513       -26.39648
