#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        1.25000        19.72658        19.66419        19.41174        19.37377        19.41514        19.29261       -23.91480       -25.29848
        1.26000        19.72393        19.66569        19.41020        19.37299        19.41225        19.29738       -23.93345       -25.31714
        1.27000        19.72149        19.66719        19.40886        19.37257        19.40921        19.30302       -23.95187       -25.33555
        1.28000        19.71923        19.66869        19.40790        19.37212        19.40572        19.30891       -23.97005       -25.35373
        1.29000        19.71710        19.67018        19.40741        19.37138        19.40199        19.31442       -23.98799       -25.37167
        1.30000        19.71512        19.67169        19.40738        19.37077        19.39827        19.31968       -24.00569       -25.38937
        1.31000        19.71326        19.67322        19.40775        19.37027        19.39459        19.32438       -24.02316       -25.40685
        1.32000        19.71157        19.67477        19.40848        19.36971        19.39107        19.32869       -24.04041       -25.42409
        1.33000        19.71004        19.67634        19.40954        19.36902        19.38742        19.33253       -24.05742       -25.44110
        1.34000        19.70866        19.67790        19.41091        19.36822        19.38367        19.33600       -24.07421       -25.45790
        1.35000        19.70745        19.67944        19.41250        19.36765        19.38018        19.33895       -24.09078       -25.47446
        1.36000        19.70648        19.68096        19.41428        19.36748        19.37667        19.34086       -24.10713       -25.49081
        1.37000        19.70579        19.68245        19.41637        19.36761        19.37323        19.34164       -24.12326       -25.50694
        1.38000        19.70548        19.68390        19.41880        19.36794        19.37019        19.34265       -24.13917       -25.52285
        1.39000        19.70559        19.68530        19.42160        19.36794        19.36750        19.34399       -24.15487       -25.53855
        1.40000        19.70618        19.68661        19.42487        19.36737        19.36518        19.34521       -24.17036       -25.55404
        1.41000        19.70730        19.68781        19.42882        19.36624        19.36300        19.34725       -24.18563       -25.56932
        1.42000        19.70894        19.68889        19.43382        19.36442        19.36048        19.34833       -24.20070       -25.58438
        1.43000        19.71114        19.68983        19.44019        19.36174        19.35813        19.34790       -24.21557       -25.59925
        1.44000        19.71400        19.69062        19.44796        19.35775        19.35650        19.34787       -24.23023       -25.61391
        1.45000        19.71776        19.69127        19.45690        19.35298        19.35532        19.34663       -24.24469       -25.62837
        1.46000        19.72269        19.69178        19.46608        19.34798        19.35457        19.34457       -24.25894       -25.64263
        1.47000        19.72890        19.69219        19.47489        19.34291        19.35390        19.34255       -24.27301       -25.65669
        1.48000        19.73654        19.69252        19.48378        19.33811        19.35345        19.34045       -24.28687       -25.67055
        1.49000        19.74550        19.69275        19.49285        19.33384        19.35295        19.33848       -24.30054       -25.68422
        1.50000        19.75546        19.69283        19.50174        19.33045        19.35242        19.33768       -24.31402       -25.69770
        1.51000        19.76617        19.69274        19.50995        19.32824        19.35145        19.33662       -24.32731       -25.71099
        1.52000        19.77749        19.69248        19.51726        19.32764        19.35026        19.33472       -24.34042       -25.72410
        1.53000        19.78927        19.69205        19.52366        19.32881        19.34903        19.33429       -24.35333       -25.73701
        1.54000        19.80141        19.69145        19.52940        19.33123        19.34796        19.33303       -24.36606       -25.74974
        1.55000        19.81384        19.69074        19.53471        19.33448        19.34713        19.33177       -24.37861       -25.76229
        1.56000        19.82647        19.69001        19.53972        19.33827        19.34654        19.33085       -24.39098       -25.77466
        1.57000        19.83918        19.68932        19.54448        19.34201        19.34610        19.33013       -24.40317       -25.78685
        1.58000        19.85169        19.68871        19.54902        19.34541        19.34580        19.32963       -24.41518       -25.79886
        1.59000        19.86366        19.68821        19.55343        19.34873        19.34576        19.32938       -24.42701       -25.81069
        1.60000        19.87476        19.68785        19.55783        19.35173        19.34622        19.32904       -24.43867       -25.82235
        1.61000        19.88443        19.68765        19.56225        19.35422        19.34730        19.32890       -24.45016       -25.83384
        1.62000        19.89217        19.68761        19.56667        19.35662        19.34906        19.32820       -24.46148       -25.84516
        1.63000        19.89771        19.68774        19.57112        19.35929        19.35137        19.32724       -24.47263       -25.85631
        1.64000        19.90066        19.68806        19.57564        19.36208        19.35412        19.32641       -24.48361       -25.86729
        1.65000        19.90118        19.68858        19.58031        19.36482        19.35761        19.32579       -24.49442       -25.87811
        1.66000        19.89973        19.68938        19.58516        19.36742        19.36167        19.32530       -24.50507       -25.88876
        1.67000        19.89676        19.69055        19.59018        19.37000        19.36631        19.32471       -24.51556       -25.89924
        1.68000        19.89257        19.69216        19.59537        19.37268        19.37124        19.32401       -24.52589       -25.90957
        1.69000        19.88752        19.69422        19.60071        19.37552        19.37619        19.32346       -24.53606       -25.91974
        1.70000        19.88200        19.69671        19.60621        19.37939        19.38101        19.32320       -24.54607       -25.92975
        1.71000        19.87634        19.69955        19.61187        19.38534        19.38572        19.32340       -24.55592       -25.93960
        1.72000        19.87103        19.70264        19.61770        19.39089        19.39025        19.32446       -24.56562       -25.94930
        1.73000        19.86622        19.70591        19.62371        19.39283        19.39438        19.32567       -24.57516       -25.95884
        1.74000        19.86221        19.70933        19.62989        19.39302        19.39807        19.32648       -24.58455       -25.96823
