#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        1.98000        19.82390        19.74138        19.63347        19.45883        19.31377        19.27681       -24.87600       -26.25968
        1.99000        19.82859        19.74721        19.63772        19.46629        19.31467        19.28197       -24.88283       -26.26651
        2.00000        19.83359        19.75291        19.64215        19.47326        19.31633        19.28715       -24.88953       -26.27321
        2.01000        19.83892        19.75852        19.64666        19.47997        19.31854        19.29268       -24.89612       -26.27980
        2.02000        19.84466        19.76406        19.65120        19.48653        19.32123        19.29862       -24.90259       -26.28627
        2.03000        19.85084        19.76957        19.65571        19.49307        19.32440        19.30475       -24.90894       -26.29262
        2.04000        19.85758        19.77506        19.66020        19.49965        19.32805        19.31085       -24.91518       -26.29886
        2.05000        19.86499        19.78052        19.66468        19.50625        19.33215        19.31677       -24.92130       -26.30498
        2.06000        19.87321        19.78597        19.66915        19.51290        19.33666        19.32241       -24.92731       -26.31099
        2.07000        19.88242        19.79141        19.67361        19.51969        19.34153        19.32763       -24.93321       -26.31689
        2.08000        19.89266        19.79686        19.67805        19.52674        19.34675        19.33235       -24.93899       -26.32267
        2.09000        19.90407        19.80233        19.68248        19.53389        19.35238        19.33679       -24.94466       -26.32835
        2.10000        19.91682        19.80780        19.68684        19.54114        19.35843        19.34121       -24.95023       -26.33391
        2.11000        19.93112        19.81324        19.69118        19.54867        19.36483        19.34574       -24.95568       -26.33937
        2.12000        19.94724        19.81859        19.69550        19.55648        19.37143        19.35029       -24.96103       -26.34471
        2.13000        19.96549        19.82382        19.69985        19.56441        19.37810        19.35493       -24.96627       -26.34996
        2.14000        19.98590        19.82892        19.70424        19.57253        19.38474        19.35965       -24.97141       -26.35509
        2.15000        20.00854        19.83386        19.70868        19.58041        19.39136        19.36455       -24.97644       -26.36012
        2.16000        20.03354        19.83859        19.71317        19.58819        19.39802        19.36962       -24.98137       -26.36505
        2.17000        20.06059        19.84306        19.71771        19.59604        19.40478        19.37469       -24.98619       -26.36987
        2.18000        20.08939        19.84719        19.72230        19.60409        19.41181        19.37953       -24.99091       -26.37459
        2.19000        20.11974        19.85095        19.72699        19.61230        19.41930        19.38395       -24.99553       -26.37921
        2.20000        20.15146        19.85437        19.73177        19.62061        19.42729        19.38784       -25.00005       -26.38373
        2.21000        20.18448        19.85747        19.73666        19.62906        19.43538        19.39122       -25.00447       -26.38815
        2.22000        20.21870        19.86026        19.74166        19.63760        19.44325        19.39416       -25.00879       -26.39248
        2.23000        20.25395        19.86272        19.74675        19.64624        19.45131        19.39637       -25.01302       -26.39670
        2.24000        20.29013        19.86494        19.75197        19.65496        19.46023        19.39739       -25.01715       -26.40083
        2.25000        20.32699        19.86703        19.75729        19.66376        19.47017        19.39696       -25.02118       -26.40486
        2.26000        20.36424        19.86904        19.76273        19.67264        19.48116        19.39482       -25.02511       -26.40879
        2.27000        20.40168        19.87105        19.76826        19.68145        19.49302        19.39121       -25.02895       -26.41263
        2.28000        20.43911        19.87312        19.77387        19.68991        19.50536        19.38671       -25.03270       -26.41638
        2.29000        20.47609        19.87528        19.77954        19.69810        19.51804        19.38222       -25.03635       -26.42004
        2.30000        20.51208        19.87759        19.78522        19.70624        19.53105        19.37861       -25.03992       -26.42360
        2.31000        20.54662        19.88010        19.79089        19.71438        19.54417        19.37694       -25.04339       -26.42707
        2.32000        20.57904        19.88286        19.79653        19.72249        19.55710        19.37794       -25.04677       -26.43045
        2.33000        20.60872        19.88592        19.80210        19.73059        19.56928        19.38070       -25.05006       -26.43374
        2.34000        20.63585        19.88934        19.80761        19.73876        19.58028        19.38300       -25.05326       -26.43694
        2.35000        20.66053        19.89313        19.81306        19.74692        19.59010        19.38442       -25.05638       -26.44006
        2.36000        20.68248        19.89735        19.81847        19.75515        19.59906        19.38684       -25.05940       -26.44308
        2.37000        20.70141        19.90201        19.82386        19.76340        19.60738        19.39108       -25.06234       -26.44602
        2.38000        20.71796        19.90714        19.82922        19.77170        19.61530        19.39611       -25.06520       -26.44888
        2.39000        20.73282        19.91280        19.83458        19.78003        19.62298        19.40138       -25.06797       -26.45165
        2.40000        20.74644        19.91906        19.83991        19.78846        19.63050        19.40701       -25.07065       -26.45433
        2.41000        20.75919        19.92590        19.84524        19.79698        19.63786        19.41299       -25.07325       -26.45693
        2.42000        20.77135        19.93331        19.85055        19.80561        19.64511        19.41927       -25.07577       -26.45945
        2.43000        20.78304        19.94130        19.85584        19.81413        19.65226        19.42587       -25.07820       -26.46188
        2.44000        20.79435        19.94978        19.86109        19.82257        19.65933        19.43265       -25.08056       -26.46424
        2.45000        20.80535        19.95869        19.86627        19.83088        19.66639        19.43973       -25.08283       -26.46651
        2.46000        20.81611        19.96803        19.87135        19.83922        19.67346        19.44737       -25.08502       -26.46870
        2.47000        20.82679        19.97783        19.87625        19.84767        19.68058        19.45590       -25.08713       -26.47082
        2.48000        20.83734        19.98815        19.88090        19.85619        19.68776        19.46502       -25.08917       -26.47285
        2.49000        20.84770        19.99902        19.88533        19.86468        19.69503        19.47416       -25.09112       -26.47480
        2.50000        20.85803        20.01043        19.88952        19.87306        19.70243        19.48312       -25.09300       -26.47668
        2.51000        20.86844        20.02235        19.89349        19.88122        19.70996        19.49207       -25.09480       -26.47848
        2.52000        20.87897        20.03474        19.89731        19.88907        19.71768        19.50135       -25.09653       -26.48021
        2.53000        20.88970        20.04749        19.90110        19.89665        19.72561        19.51116       -25.09818       -26.48186
        2.54000        20.90070        20.06053        19.90504        19.90389        19.73378        19.52132       -25.09975       -26.48343
        2.55000        20.91198        20.07382        19.90928        19.91065        19.74217        19.53163       -25.10125       -26.48493
        2.56000        20.92357        20.08731        19.91395        19.91681        19.75080        19.54200       -25.10268       -26.48636
        2.57000        20.93551        20.10094        19.91911        19.92229        19.75971        19.55239       -25.10403       -26.48771
        2.58000        20.94783        20.11468        19.92480        19.92716        19.76891        19.56278       -25.10531       -26.48899
        2.59000        20.96053        20.12849        19.93098        19.93157        19.77843        19.57322       -25.10652       -26.49020
        2.60000        20.97360        20.14231        19.93757        19.93553        19.78826        19.58361       -25.10765       -26.49134
        2.61000        20.98710        20.15610        19.94436        19.93909        19.79838        19.59400       -25.10872       -26.49240
        2.62000        21.00100        20.16977        19.95138        19.94221        19.80877        19.60429       -25.10972       -26.49340
