#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_B	M_i
        1.10000        19.90776        19.80066        19.55990        19.55934        19.57616        19.35322       -24.04182       -24.79429
        1.11000        19.90867        19.79903        19.55909        19.55446        19.57858        19.35567       -24.06443       -24.81689
        1.12000        19.90843        19.79747        19.55836        19.54949        19.58133        19.35733       -24.08675       -24.83921
        1.13000        19.90693        19.79601        19.55777        19.54436        19.58402        19.36000       -24.10879       -24.86126
        1.14000        19.90423        19.79472        19.55725        19.53904        19.58630        19.36567       -24.13056       -24.88302
        1.15000        19.90050        19.79364        19.55677        19.53409        19.58726        19.37221       -24.15205       -24.90451
        1.16000        19.89619        19.79282        19.55626        19.52975        19.58618        19.37833       -24.17327       -24.92573
        1.17000        19.89165        19.79237        19.55569        19.52616        19.58349        19.38481       -24.19422       -24.94668
        1.18000        19.88720        19.79233        19.55509        19.52292        19.57983        19.39223       -24.21490       -24.96737
        1.19000        19.88288        19.79270        19.55443        19.51994        19.57569        19.39912       -24.23533       -24.98779
        1.20000        19.87879        19.79340        19.55363        19.51720        19.57076        19.40574       -24.25549       -25.00795
        1.21000        19.87493        19.79435        19.55257        19.51498        19.56575        19.41117       -24.27539       -25.02786
        1.22000        19.87134        19.79550        19.55134        19.51383        19.56109        19.41561       -24.29504       -25.04751
        1.23000        19.86803        19.79682        19.55007        19.51233        19.55718        19.42002       -24.31444       -25.06691
        1.24000        19.86499        19.79828        19.54879        19.51060        19.55382        19.42410       -24.33359       -25.08606
        1.25000        19.86220        19.79981        19.54736        19.50939        19.55077        19.42823       -24.35249       -25.10496
        1.26000        19.85961        19.80137        19.54588        19.50867        19.54793        19.43306       -24.37115       -25.12362
        1.27000        19.85723        19.80293        19.54459        19.50831        19.54495        19.43875       -24.38957       -25.14203
        1.28000        19.85502        19.80448        19.54369        19.50791        19.54151        19.44470       -24.40774       -25.16021
        1.29000        19.85295        19.80603        19.54326        19.50722        19.53784        19.45027       -24.42568       -25.17815
        1.30000        19.85102        19.80759        19.54328        19.50667        19.53417        19.45558       -24.44339       -25.19585
        1.31000        19.84922        19.80917        19.54371        19.50623        19.53055        19.46034       -24.46086       -25.21333
        1.32000        19.84758        19.81079        19.54449        19.50572        19.52708        19.46470       -24.47810       -25.23057
        1.33000        19.84610        19.81240        19.54561        19.50508        19.52348        19.46860       -24.49512       -25.24759
        1.34000        19.84478        19.81402        19.54702        19.50434        19.51979        19.47212       -24.51191       -25.26438
        1.35000        19.84362        19.81561        19.54867        19.50382        19.51636        19.47513       -24.52848       -25.28094
        1.36000        19.84270        19.81718        19.55051        19.50370        19.51289        19.47709       -24.54483       -25.29729
        1.37000        19.84207        19.81872        19.55265        19.50389        19.50951        19.47792       -24.56096       -25.31342
        1.38000        19.84181        19.82023        19.55513        19.50427        19.50652        19.47898       -24.57687       -25.32933
        1.39000        19.84196        19.82168        19.55798        19.50432        19.50387        19.48037       -24.59257       -25.34503
        1.40000        19.84261        19.82304        19.56129        19.50380        19.50161        19.48164       -24.60805       -25.36052
        1.41000        19.84378        19.82429        19.56530        19.50272        19.49948        19.48373       -24.62333       -25.37580
        1.42000        19.84547        19.82542        19.57034        19.50095        19.49701        19.48486       -24.63840       -25.39086
        1.43000        19.84772        19.82641        19.57677        19.49832        19.49471        19.48447       -24.65326       -25.40573
        1.44000        19.85063        19.82725        19.58459        19.49438        19.49313        19.48449       -24.66792       -25.42039
        1.45000        19.85443        19.82794        19.59358        19.48965        19.49199        19.48330       -24.68238       -25.43485
        1.46000        19.85941        19.82851        19.60280        19.48470        19.49129        19.48130       -24.69664       -25.44911
        1.47000        19.86568        19.82896        19.61166        19.47968        19.49067        19.47932       -24.71070       -25.46317
        1.48000        19.87336        19.82934        19.62060        19.47493        19.49027        19.47727       -24.72457       -25.47703
        1.49000        19.88236        19.82961        19.62971        19.47070        19.48982        19.47535       -24.73824       -25.49071
        1.50000        19.89237        19.82975        19.63866        19.46736        19.48933        19.47459       -24.75172       -25.50419
        1.51000        19.90313        19.82970        19.64691        19.46520        19.48841        19.47358       -24.76501       -25.51748
        1.52000        19.91450        19.82949        19.65427        19.46465        19.48727        19.47172       -24.77811       -25.53058
        1.53000        19.92632        19.82910        19.66071        19.46586        19.48608        19.47134       -24.79103       -25.54349
        1.54000        19.93850        19.82855        19.66649        19.46833        19.48505        19.47012       -24.80376       -25.55622
        1.55000        19.95098        19.82788        19.67185        19.47162        19.48427        19.46891       -24.81631       -25.56877
        1.56000        19.96366        19.82720        19.67690        19.47545        19.48373        19.46803       -24.82868       -25.58114
        1.57000        19.97640        19.82655        19.68170        19.47924        19.48332        19.46736       -24.84086       -25.59333
        1.58000        19.98896        19.82598        19.68629        19.48268        19.48307        19.46690       -24.85287       -25.60534
        1.59000        20.00098        19.82553        19.69075        19.48605        19.48308        19.46670       -24.86471       -25.61717
        1.60000        20.01212        19.82521        19.69519        19.48909        19.48357        19.46640       -24.87637       -25.62884
        1.61000        20.02183        19.82505        19.69965        19.49162        19.48470        19.46630       -24.88786       -25.64032
        1.62000        20.02961        19.82505        19.70412        19.49406        19.48650        19.46564       -24.89918       -25.65164
        1.63000        20.03519        19.82523        19.70861        19.49677        19.48885        19.46472       -24.91033       -25.66279
        1.64000        20.03819        19.82559        19.71317        19.49960        19.49165        19.46394       -24.92131       -25.67377
