#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_B	M_i
        1.57000        19.90142        19.75156        19.60671        19.40425        19.40834        19.39237       -24.91585       -25.66832
        1.58000        19.91317        19.75019        19.61050        19.40689        19.40728        19.39111       -24.92867       -25.68113
        1.59000        19.92438        19.74893        19.61415        19.40945        19.40648        19.39010       -24.94130       -25.69377
        1.60000        19.93472        19.74781        19.61779        19.41169        19.40618        19.38900       -24.95377       -25.70623
        1.61000        19.94363        19.74685        19.62144        19.41341        19.40649        19.38810       -24.96606       -25.71853
        1.62000        19.95060        19.74604        19.62511        19.41506        19.40750        19.38664       -24.97819       -25.73065
        1.63000        19.95538        19.74541        19.62879        19.41696        19.40904        19.38491       -24.99014       -25.74260
        1.64000        19.95757        19.74496        19.63255        19.41898        19.41103        19.38332       -25.00193       -25.75439
        1.65000        19.95732        19.74472        19.63645        19.42096        19.41375        19.38192       -25.01355       -25.76601
        1.66000        19.95511        19.74475        19.64053        19.42279        19.41704        19.38067       -25.02501       -25.77747
        1.67000        19.95136        19.74516        19.64479        19.42461        19.42092        19.37931       -25.03630       -25.78877
        1.68000        19.94640        19.74599        19.64920        19.42651        19.42507        19.37785       -25.04744       -25.79990
        1.69000        19.94059        19.74728        19.65378        19.42859        19.42925        19.37652       -25.05842       -25.81088
        1.70000        19.93429        19.74900        19.65851        19.43168        19.43331        19.37550       -25.06924       -25.82170
        1.71000        19.92786        19.75107        19.66339        19.43687        19.43725        19.37493       -25.07990       -25.83236
        1.72000        19.92178        19.75339        19.66845        19.44164        19.44100        19.37521       -25.09041       -25.84287
        1.73000        19.91620        19.75589        19.67369        19.44281        19.44436        19.37565       -25.10076       -25.85323
        1.74000        19.91141        19.75854        19.67909        19.44223        19.44727        19.37568       -25.11096       -25.86343
        1.75000        19.90759        19.76129        19.68463        19.44255        19.44976        19.37593       -25.12102       -25.87348
        1.76000        19.90469        19.76415        19.69025        19.44446        19.45203        19.37661       -25.13092       -25.88338
        1.77000        19.90286        19.76711        19.69588        19.44721        19.45426        19.37722       -25.14067       -25.89314
        1.78000        19.90182        19.77018        19.70150        19.45018        19.45665        19.37788       -25.15028       -25.90275
        1.79000        19.90144        19.77338        19.70706        19.45321        19.45921        19.37860       -25.15975       -25.91221
        1.80000        19.90175        19.77675        19.71250        19.45635        19.46194        19.37907       -25.16907       -25.92153
        1.81000        19.90265        19.78036        19.71778        19.45965        19.46488        19.37934       -25.17825       -25.93071
        1.82000        19.90414        19.78429        19.72280        19.46320        19.46788        19.38001       -25.18728       -25.93975
        1.83000        19.90621        19.78862        19.72742        19.46710        19.47086        19.38074       -25.19618       -25.94864
        1.84000        19.90873        19.79337        19.73160        19.47154        19.47374        19.38165       -25.20494       -25.95740
        1.85000        19.91168        19.79854        19.73524        19.47648        19.47633        19.38261       -25.21356       -25.96602
        1.86000        19.91502        19.80406        19.73847        19.48196        19.47838        19.38348       -25.22204       -25.97451
        1.87000        19.91865        19.80988        19.74139        19.48847        19.47940        19.38431       -25.23039       -25.98286
        1.88000        19.92246        19.81593        19.74408        19.49647        19.47899        19.38533       -25.23861       -25.99108
        1.89000        19.92636        19.82217        19.74657        19.50601        19.47719        19.38670       -25.24670       -25.99916
        1.90000        19.93026        19.82856        19.74892        19.51655        19.47448        19.38841       -25.25465       -26.00711
        1.91000        19.93415        19.83509        19.75120        19.52749        19.47137        19.39056       -25.26247       -26.01494
        1.92000        19.93803        19.84172        19.75349        19.53833        19.46797        19.39310       -25.27017       -26.02263
        1.93000        19.94191        19.84839        19.75588        19.54906        19.46428        19.39579       -25.27774       -26.03020
        1.94000        19.94583        19.85503        19.75847        19.55979        19.46053        19.39867       -25.28518       -26.03764
        1.95000        19.94982        19.86155        19.76138        19.57032        19.45699        19.40202       -25.29249       -26.04496
        1.96000        19.95394        19.86793        19.76463        19.58028        19.45424        19.40602       -25.29968       -26.05215
        1.97000        19.95821        19.87413        19.76824        19.58941        19.45271        19.41053       -25.30675       -26.05922
        1.98000        19.96266        19.88014        19.77223        19.59758        19.45253        19.41557       -25.31370       -26.06616
        1.99000        19.96738        19.88600        19.77651        19.60507        19.45346        19.42076       -25.32052       -26.07299
        2.00000        19.97241        19.89173        19.78097        19.61208        19.45515        19.42597       -25.32723       -26.07969
        2.01000        19.97777        19.89737        19.78551        19.61882        19.45739        19.43153       -25.33382       -26.08628
        2.02000        19.98354        19.90295        19.79008        19.62541        19.46012        19.43750       -25.34029       -26.09275
        2.03000        19.98975        19.90849        19.79462        19.63199        19.46331        19.44366       -25.34664       -26.09910
        2.04000        19.99652        19.91400        19.79914        19.63859        19.46699        19.44979       -25.35288       -26.10534
        2.05000        20.00397        19.91950        19.80365        19.64523        19.47112        19.45574       -25.35900       -26.11146
        2.06000        20.01222        19.92497        19.80815        19.65190        19.47566        19.46142       -25.36501       -26.11747
        2.07000        20.02145        19.93044        19.81264        19.65872        19.48056        19.46666       -25.37090       -26.12337
        2.08000        20.03172        19.93592        19.81712        19.66580        19.48582        19.47141       -25.37669       -26.12915
        2.09000        20.04316        19.94142        19.82157        19.67298        19.49147        19.47588       -25.38236       -26.13483
        2.10000        20.05594        19.94692        19.82597        19.68026        19.49756        19.48034       -25.38793       -26.14039
        2.11000        20.07027        19.95239        19.83033        19.68782        19.50398        19.48489       -25.39338       -26.14585
        2.12000        20.08642        19.95777        19.83468        19.69566        19.51061        19.48947       -25.39873       -26.15120
        2.13000        20.10470        19.96303        19.83905        19.70362        19.51731        19.49414       -25.40397       -26.15644
        2.14000        20.12514        19.96816        19.84348        19.71176        19.52397        19.49889       -25.40911       -26.16157
        2.15000        20.14780        19.97313        19.84795        19.71967        19.53063        19.50381       -25.41414       -26.16660
        2.16000        20.17284        19.97789        19.85246        19.72749        19.53731        19.50891       -25.41907       -26.17153
        2.17000        20.19991        19.98238        19.85703        19.73536        19.54410        19.51401       -25.42389       -26.17635
        2.18000        20.22873        19.98654        19.86165        19.74343        19.55115        19.51888       -25.42861       -26.18108
        2.19000        20.25911        19.99033        19.86636        19.75167        19.55867        19.52333       -25.43323       -26.18570
        2.20000        20.29086        19.99377        19.87117        19.76001        19.56670        19.52724       -25.43775       -26.19022
        2.21000        20.32391        19.99690        19.87609        19.76849        19.57481        19.53065       -25.44217       -26.19464
        2.22000        20.35815        19.99972        19.88111        19.77705        19.58271        19.53362       -25.44649       -26.19896
        2.23000        20.39343        20.00220        19.88624        19.78573        19.59079        19.53585       -25.45072       -26.20318
        2.24000        20.42964        20.00445        19.89147        19.79447        19.59973        19.53690       -25.45484       -26.20731
        2.25000        20.46652        20.00656        19.89683        19.80329        19.60971        19.53649       -25.45887       -26.21134
        2.26000        20.50380        20.00860        19.90229        19.81220        19.62073        19.53438       -25.46281       -26.21527
        2.27000        20.54127        20.01064        19.90784        19.82104        19.63261        19.53079       -25.46665       -26.21912
        2.28000        20.57872        20.01273        19.91348        19.82952        19.64497        19.52632       -25.47040       -26.22286
        2.29000        20.61573        20.01492        19.91917        19.83773        19.65768        19.52185       -25.47405       -26.22652
        2.30000        20.65174        20.01725        19.92488        19.84590        19.67071        19.51827       -25.47762       -26.23008
